# Sweep from 32354.296Hz to 32354.520Hz step 0.005600000000049477Hz delay 20s
# Excitation 0.040000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
4359.98 32354.296 0.083674 -1.69712
4380.01 32354.302 0.104592 -1.77352
4400.07 32354.307 0.130059 -1.84446
4420.10 32354.313 0.16371 -1.92541
4440.13 32354.318 0.160072 -2.02182
4460.17 32354.324 0.201909 -2.14187
4480.20 32354.330 0.248294 -2.27466
4500.23 32354.335 0.306501 -2.41745
4520.27 32354.341 0.366528 -2.5566
4540.30 32354.346 0.472941 -2.74669
4560.33 32354.352 0.58208 -2.93495
4580.36 32354.358 0.712138 -3.14232
4600.39 32354.363 0.909498 -3.42699
4620.42 32354.369 1.19417 -3.78353
4640.46 32354.374 1.76625 -4.21826
4660.49 32354.380 2.64482 -4.56842
4680.52 32354.386 4.16915 -4.59571
4700.55 32354.391 6.07818 -3.27601
4720.58 32354.397 6.86035 -1.36971
4740.62 32354.402 6.94948 0.043656
4760.65 32354.408 6.703 1.20327
4780.68 32354.414 6.28009 2.09003
4800.71 32354.419 5.72712 2.67029
4820.74 32354.425 5.07774 3.04591
4840.77 32354.430 4.50839 3.25237
4860.80 32354.436 3.92268 3.26874
4880.84 32354.442 3.40243 3.26055
4900.89 32354.447 2.97406 3.16324
4920.92 32354.453 2.55297 3.05774
4940.96 32354.458 2.22646 2.91404
4960.99 32354.464 1.93724 2.74214
4981.02 32354.470 1.66893 2.6039
5001.05 32354.475 1.46157 2.41654
5021.08 32354.481 1.27967 2.26102
5041.11 32354.486 1.14324 2.12914
5061.15 32354.492 1.04865 1.99726
5081.18 32354.498 0.938606 1.88358
5101.21 32354.503 0.868571 1.76806
5121.24 32354.509 0.806725 1.68712
5141.27 32354.514 0.730328 1.60163
5161.30 32354.520 0.675758 1.53796
