# Sweep from 32354.515Hz to 32354.299Hz step -0.005400000000008731Hz delay 20s
# Excitation 0.040000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
5181.39 32354.515 0.723961 1.58162
5201.42 32354.510 0.773074 1.65983
5221.45 32354.504 0.865843 1.77898
5241.49 32354.499 0.940425 1.88358
5261.52 32354.493 1.04775 1.98271
5281.55 32354.488 1.16234 2.10004
5301.58 32354.483 1.28058 2.25192
5321.61 32354.477 1.42246 2.36379
5341.65 32354.472 1.61982 2.51659
5361.68 32354.466 1.80717 2.66756
5381.71 32354.461 2.08185 2.85037
5401.74 32354.456 2.36652 3.0068
5421.77 32354.450 2.72395 3.1505
5441.80 32354.445 3.13868 3.24964
5461.84 32354.439 3.62799 3.32513
5481.87 32354.434 4.17006 3.31512
5501.90 32354.429 4.75578 3.19962
5521.93 32354.423 5.32967 2.97042
5541.96 32354.418 5.90811 2.54842
5561.99 32354.412 6.40651 1.90086
5582.02 32354.407 6.75666 1.04047
5602.06 32354.402 6.93674 -0.00818551
5622.09 32354.396 6.894 -1.17507
5642.12 32354.391 6.47745 -2.5948
5662.15 32354.385 5.42153 -4.08821
5682.18 32354.380 3.35605 -4.88492
5702.21 32354.375 1.85083 -4.29284
5722.24 32354.369 1.36152 -3.86993
5742.28 32354.364 1.03956 -3.56705
5762.31 32354.358 0.786716 -3.27056
5782.34 32354.353 0.619369 -3.02408
5802.37 32354.348 0.486583 -2.79398
5822.40 32354.342 0.401089 -2.61117
5842.44 32354.337 0.351976 -2.45201
5862.47 32354.331 0.293769 -2.29922
5882.50 32354.326 0.23738 -2.20645
5902.53 32354.321 0.185538 -2.10549
5922.56 32354.315 0.167348 -1.98908
5942.60 32354.310 0.131878 -1.90086
5962.63 32354.304 0.107321 -1.82809
5982.66 32354.299 0.0827645 -1.76534
