# Sweep from 15750Hz to 15839.676Hz step 0.7472999999999956Hz delay 0.9s
# Excitation 0.007456Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
33494.00 15750.000 8.3982886 -0.52202546
33494.92 15750.747 8.3936566 -0.52386474
33495.83 15751.495 8.3994 -0.5251614
33496.75 15752.242 8.3925042 -0.52359673
33497.67 15752.989 8.3981686 -0.52960195
33498.58 15753.736 8.3960595 -0.52987934
33499.50 15754.484 8.3933674 -0.52592947
33500.41 15755.231 8.3929317 -0.53102787
33501.33 15755.978 8.3988025 -0.52606669
33502.24 15756.726 8.3994564 -0.53086353
33503.16 15757.473 8.3990153 -0.53116736
33504.08 15758.220 8.3959394 -0.52855489
33504.99 15758.968 8.3942668 -0.52625705
33505.91 15759.715 8.4019985 -0.52662733
33506.83 15760.462 8.3940467 -0.528275
33507.75 15761.210 8.3960131 -0.5280433
33508.66 15761.957 8.3968371 -0.52953806
33509.58 15762.704 8.3999121 -0.53208106
33510.49 15763.451 8.3916375 -0.52642145
33511.40 15764.199 8.3922505 -0.52876794
33512.32 15764.946 8.398617 -0.52851442
33513.24 15765.693 8.3952227 -0.53322947
33514.15 15766.441 8.3985742 -0.53399816
33515.07 15767.188 8.3977657 -0.52509756
33515.98 15767.935 8.3924206 -0.52502543
33516.89 15768.682 8.3939167 -0.53365727
33517.81 15769.430 8.3938985 -0.52815238
33518.73 15770.177 8.4003159 -0.5317728
33519.65 15770.924 8.3962677 -0.53513077
33520.56 15771.672 8.3994018 -0.53868621
33521.47 15772.419 8.3951818 -0.53073569
33522.39 15773.166 8.3985578 -0.5362831
33523.30 15773.914 8.3936857 -0.53061757
33524.22 15774.661 8.3997511 -0.5429755
33525.14 15775.408 8.4031308 -0.53536183
33526.05 15776.156 8.3976865 -0.53450526
33526.97 15776.903 8.3963014 -0.53404773
33527.88 15777.650 8.3953255 -0.53778018
33528.80 15778.397 8.399802 -0.54743884
33529.72 15779.145 8.3971663 -0.53680748
33530.63 15779.892 8.3972209 -0.54065202
33531.55 15780.639 8.3956265 -0.54210949
33532.47 15781.387 8.3958612 -0.53682226
33533.38 15782.134 8.3940131 -0.54531461
33534.30 15782.881 8.3975383 -0.54335982
33535.22 15783.628 8.3952473 -0.54593386
33536.14 15784.376 8.4034764 -0.55009531
33537.06 15785.123 8.3954837 -0.54236898
33537.98 15785.870 8.4029834 -0.5396397
33538.89 15786.618 8.3996592 -0.54511884
33539.80 15787.365 8.4041621 -0.5510779
33540.72 15788.112 8.402897 -0.55373897
33541.64 15788.860 8.398355 -0.55000646
33542.56 15789.607 8.4022813 -0.55645199
33543.47 15790.354 8.3941013 -0.55558831
33544.39 15791.102 8.3972791 -0.56101584
33545.31 15791.849 8.3988489 -0.55176361
33546.23 15792.596 8.3978193 -0.55183227
33547.15 15793.343 8.4007143 -0.5594722
33548.06 15794.091 8.4036956 -0.5617797
33548.98 15794.838 8.3983332 -0.55294549
33549.90 15795.585 8.4019412 -0.56214668
33550.81 15796.333 8.3985005 -0.56475551
33551.73 15797.080 8.4007861 -0.56778953
33552.64 15797.827 8.3990917 -0.56686832
33553.56 15798.574 8.3951127 -0.56637015
33554.47 15799.322 8.3932919 -0.56882675
33555.39 15800.069 8.3969699 -0.5730231
33556.31 15800.816 8.4007861 -0.57576017
33557.22 15801.564 8.3960376 -0.57897114
33558.14 15802.311 8.4023259 -0.57769461
33559.05 15803.058 8.4054509 -0.59031782
33559.97 15803.806 8.400546 -0.59040377
33560.89 15804.553 8.4040785 -0.58196326
33561.81 15805.300 8.4027115 -0.59687801
33562.73 15806.048 8.4032263 -0.59883274
33563.64 15806.795 8.4052508 -0.6071142
33564.56 15807.542 8.4080802 -0.60512275
33565.47 15808.289 8.4044577 -0.61032642
33566.39 15809.037 8.4081421 -0.61785425
33567.30 15809.784 8.4113317 -0.62278434
33568.22 15810.531 8.4046633 -0.63044223
33569.14 15811.279 8.4124395 -0.63266668
33570.05 15812.026 8.414424 -0.64335046
33570.97 15812.773 8.4200192 -0.65062892
33571.89 15813.520 8.4089907 -0.65775708
33572.80 15814.268 8.4154462 -0.67323464
33573.72 15815.015 8.4232533 -0.68538515
33574.63 15815.762 8.4317844 -0.70879963
33575.55 15816.510 8.4412577 -0.72815453
33576.46 15817.257 8.448782 -0.76010122
33577.38 15818.004 8.4633384 -0.8038952
33578.30 15818.752 8.8631996 -0.14820334
33579.21 15819.499 8.8293336 -0.11808854
33580.13 15820.246 8.7966391 -0.083236536
33581.04 15820.994 8.7649823 -0.053100496
33581.96 15821.741 8.7367052 -0.039318667
33582.87 15822.488 8.6960599 -0.017449539
33583.79 15823.235 8.6662258 -0.0004909001
33584.71 15823.983 8.6280388 0.014443579
33585.62 15824.730 8.6036316 0.014757062
33586.54 15825.477 8.5762122 0.01087014
33587.46 15826.225 8.5637766 -0.0044191486
33588.38 15826.972 8.5468964 -0.014138431
33589.29 15827.719 8.5353704 -0.03188909
33590.21 15828.466 8.5268184 -0.048030795
33591.12 15829.214 8.5096954 -0.061329452
33592.04 15829.961 8.5025886 -0.091933792
33592.95 15830.708 8.4870899 -0.10354957
33593.87 15831.456 8.4766898 -0.12734942
33594.79 15832.203 8.4722506 -0.14709576
33595.70 15832.950 8.465945 -0.16698587
33596.62 15833.698 8.4579424 -0.18156072
33597.54 15834.445 8.4513313 -0.1982944
33598.45 15835.192 8.4393414 -0.21868799
33599.37 15835.940 8.4400535 -0.2296898
33600.28 15836.687 8.435698 -0.24586322
33601.20 15837.434 8.430141 -0.25603708
33602.12 15838.181 8.4271269 -0.27083317
33603.04 15838.929 8.4216417 -0.2762645
33603.96 15839.676 8.415469 -0.28979613
