# Sweep from 15799.137Hz to 15840.518Hz step 0.5911571428571344Hz delay 0.8s
# Excitation 0.003Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
40725.00 15799.137 3.3683907 -0.40372771
40725.82 15799.728 3.370649 -0.40182093
40726.63 15800.319 3.3720064 -0.40127816
40727.45 15800.910 3.3647427 -0.402968
40728.26 15801.502 3.3714816 -0.40287165
40729.08 15802.093 3.3697195 -0.40114119
40729.89 15802.684 3.3702884 -0.40044458
40730.71 15803.275 3.3728782 -0.40726806
40731.52 15803.866 3.3719814 -0.41491799
40732.34 15804.457 3.3755455 -0.41394213
40733.16 15805.049 3.3711735 -0.41218874
40733.97 15805.640 3.3759836 -0.41380417
40734.79 15806.231 3.3714171 -0.41805313
40735.60 15806.822 3.3744743 -0.41822426
40736.42 15807.413 3.3835686 -0.42070837
40737.23 15808.004 3.3687199 -0.42637433
40738.05 15808.596 3.3734368 -0.416831
40738.87 15809.187 3.3791337 -0.42095886
40739.68 15809.778 3.3770382 -0.42426026
40740.50 15810.369 3.3815063 -0.42844036
40741.31 15810.960 3.3827487 -0.42808907
40742.13 15811.551 3.3847368 -0.43707507
40742.94 15812.142 3.3812057 -0.44065754
40743.76 15812.734 3.385908 -0.4355384
40744.58 15813.325 3.3850602 -0.43821865
40745.39 15813.916 3.3896858 -0.44384677
40746.21 15814.507 3.3912963 -0.44659546
40747.03 15815.098 3.3967115 -0.45111378
40747.84 15815.689 3.3975898 -0.45097545
40748.66 15816.281 3.3979013 -0.45740444
40749.48 15816.872 3.401231 -0.46371756
40750.29 15817.463 3.4122588 -0.46682777
40751.10 15818.054 3.4157492 -0.47710785
40751.92 15818.645 3.4175771 -0.47519717
40752.73 15819.236 3.4390907 -0.48932765
40753.55 15819.828 3.4448556 -0.49261638
40754.36 15820.419 3.4675634 -0.50321574
40755.18 15821.010 3.4887551 -0.50990405
40756.00 15821.601 3.5224466 -0.51125573
40756.81 15822.192 3.5727739 -0.49937699
40757.63 15822.783 3.6380211 -0.46812593
40758.44 15823.374 3.6828183 -0.38861003
40759.26 15823.966 3.6737893 -0.32683994
40760.08 15824.557 3.6613005 -0.28461909
40760.90 15825.148 3.6349627 -0.2642972
40761.71 15825.739 3.6145309 -0.23863549
40762.53 15826.330 3.5831763 -0.2297687
40763.34 15826.921 3.5615517 -0.2112253
40764.16 15827.513 3.5394276 -0.21869822
40764.97 15828.104 3.5186231 -0.21652046
40765.79 15828.695 3.4978773 -0.22365842
40766.61 15829.286 3.4728132 -0.22110734
40767.42 15829.877 3.4570492 -0.23381516
40768.24 15830.468 3.4505697 -0.23458625
40769.06 15831.059 3.4360949 -0.23883638
40769.87 15831.651 3.4297682 -0.24340355
40770.69 15832.242 3.4237567 -0.24572282
40771.50 15832.833 3.4125085 -0.2527668
40772.32 15833.424 3.4142263 -0.26208474
40773.13 15834.015 3.4075274 -0.26482934
40773.95 15834.606 3.4014877 -0.27056547
40774.77 15835.198 3.3972874 -0.27192951
40775.58 15835.789 3.399806 -0.27718312
40776.40 15836.380 3.3896595 -0.28390824
40777.22 15836.971 3.3869926 -0.28932507
40778.04 15837.562 3.3827832 -0.28856493
40778.85 15838.153 3.3846259 -0.29475456
40779.67 15838.745 3.3870979 -0.29562617
40780.49 15839.336 3.3788342 -0.29302302
40781.30 15839.927 3.3796425 -0.29892723
40782.12 15840.518 3.3842116 -0.29839461
