# Sweep from 15843.365Hz to 15804.996Hz step -0.54812857142858Hz delay 0.8s
# Excitation 0.000300Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
41777.33 15843.365 0.33417086 -0.28673517
41778.15 15842.817 0.33880121 -0.28667512
41778.96 15842.269 0.3303345 -0.28779772
41779.78 15841.721 0.33212558 -0.28350206
41780.59 15841.172 0.3360089 -0.28717054
41781.41 15840.624 0.33223969 -0.28814586
41782.22 15840.076 0.33074298 -0.28892796
41783.04 15839.528 0.34029978 -0.2923027
41783.85 15838.980 0.3353959 -0.2908632
41784.67 15838.432 0.32981987 -0.28827097
41785.48 15837.884 0.34231908 -0.28834916
41786.30 15837.336 0.33351665 -0.28831781
41787.12 15836.787 0.33777278 -0.28435306
41787.94 15836.239 0.33113312 -0.28406296
41788.76 15835.691 0.33681596 -0.28682999
41789.57 15835.143 0.3369162 -0.28207074
41790.39 15834.595 0.33929234 -0.28419376
41791.21 15834.047 0.33693971 -0.2843534
41792.02 15833.499 0.33712035 -0.2847145
41792.84 15832.951 0.33804031 -0.28456745
41793.66 15832.402 0.33603928 -0.28622472
41794.47 15831.854 0.3329184 -0.28498013
41795.29 15831.306 0.34047287 -0.28610054
41796.11 15830.758 0.34401768 -0.28415212
41796.92 15830.210 0.34072517 -0.28614335
41797.74 15829.662 0.33772241 -0.28315804
41798.55 15829.114 0.3414838 -0.28287644
41799.37 15828.566 0.34222086 -0.2804295
41800.19 15828.017 0.34490421 -0.2802752
41801.01 15827.469 0.35107095 -0.2829091
41801.82 15826.921 0.35734377 -0.2823337
41802.64 15826.373 0.34566975 -0.28793247
41803.45 15825.825 0.35467636 -0.28923981
41804.27 15825.277 0.35600712 -0.2869518
41805.09 15824.729 0.35646258 -0.2921806
41805.91 15824.180 0.35438765 -0.29807418
41806.73 15823.632 0.35895687 -0.29542369
41807.54 15823.084 0.35386222 -0.30047283
41808.35 15822.536 0.35567396 -0.29996357
41809.18 15821.988 0.35026301 -0.30490125
41809.99 15821.440 0.34209262 -0.30690717
41810.81 15820.892 0.35196396 -0.30872636
41811.63 15820.344 0.34408492 -0.30670111
41812.44 15819.795 0.34103152 -0.30459182
41813.26 15819.247 0.34293143 -0.30367644
41814.08 15818.699 0.33789075 -0.30315562
41814.89 15818.151 0.34175133 -0.30829295
41815.71 15817.603 0.34169591 -0.30800553
41816.52 15817.055 0.33859575 -0.30329687
41817.34 15816.507 0.3351025 -0.29948347
41818.16 15815.959 0.3410205 -0.3046452
41818.98 15815.410 0.33360874 -0.30771966
41819.79 15814.862 0.33602208 -0.30159802
41820.61 15814.314 0.33804471 -0.29926355
41821.42 15813.766 0.33629334 -0.29763595
41822.24 15813.218 0.33432576 -0.3007454
41823.06 15812.670 0.3373685 -0.29743828
41823.87 15812.122 0.33660976 -0.29992773
41824.69 15811.574 0.33195727 -0.30205561
41825.51 15811.025 0.33437107 -0.30142587
41826.32 15810.477 0.33810409 -0.29747065
41827.14 15809.929 0.33337895 -0.30118542
41827.95 15809.381 0.33439647 -0.30317915
41828.77 15808.833 0.33350872 -0.29976488
41829.59 15808.285 0.332762 -0.29739337
41830.40 15807.737 0.33762285 -0.29974473
41831.22 15807.189 0.33442919 -0.29857259
41832.04 15806.640 0.33321868 -0.30058362
41832.85 15806.092 0.33052521 -0.30321493
41833.67 15805.544 0.33642829 -0.3012176
41834.49 15804.996 0.33704276 -0.29442319
