# Sweep from 15805.450Hz to 15844.555Hz step 0.5586428571428509Hz delay 0.8s
# Excitation 0.002115Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
54220.96 15805.450 2.2983138 -0.37453017
54221.77 15806.009 2.3006708 -0.37575583
54222.59 15806.567 2.3045927 -0.37231334
54223.40 15807.126 2.2925587 -0.37396342
54224.22 15807.685 2.3012467 -0.37939674
54225.04 15808.243 2.3064947 -0.37987974
54225.86 15808.802 2.2991612 -0.37745176
54226.68 15809.361 2.3055513 -0.37904934
54227.49 15809.919 2.3017274 -0.38095516
54228.31 15810.478 2.3049649 -0.38026582
54229.12 15811.036 2.30874 -0.37944133
54229.94 15811.595 2.3035611 -0.38038118
54230.75 15812.154 2.3095561 -0.3896175
54231.56 15812.712 2.3098187 -0.38876621
54232.38 15813.271 2.3067316 -0.3907021
54233.20 15813.830 2.3121981 -0.39297583
54234.01 15814.388 2.3111888 -0.39391679
54234.83 15814.947 2.3112605 -0.39477027
54235.64 15815.506 2.3192747 -0.39925564
54236.46 15816.064 2.3206799 -0.40344466
54237.28 15816.623 2.3183959 -0.40923589
54238.09 15817.182 2.3286307 -0.40584263
54238.91 15817.740 2.3311736 -0.40966793
54239.73 15818.299 2.3320392 -0.41257681
54240.55 15818.857 2.3350001 -0.4199259
54241.36 15819.416 2.3460473 -0.4205495
54242.18 15819.975 2.3506066 -0.42625433
54243.00 15820.533 2.3606824 -0.43341876
54243.81 15821.092 2.375848 -0.43294051
54244.63 15821.651 2.3847183 -0.43137882
54245.44 15822.209 2.4032688 -0.43633995
54246.26 15822.768 2.4288945 -0.43015746
54247.07 15823.327 2.4519143 -0.42091273
54247.89 15823.885 2.4794222 -0.39274627
54248.70 15824.444 2.4995948 -0.36987512
54249.51 15825.003 2.4936937 -0.32099354
54250.33 15825.561 2.4874523 -0.29295762
54251.14 15826.120 2.4747962 -0.27569698
54251.96 15826.678 2.4516492 -0.26066462
54252.78 15827.237 2.439273 -0.2502093
54253.59 15827.796 2.4242208 -0.24680921
54254.41 15828.354 2.3910823 -0.23837862
54255.23 15828.913 2.3821551 -0.23925509
54256.05 15829.472 2.3688249 -0.24515091
54256.86 15830.030 2.3621189 -0.25127565
54257.68 15830.589 2.3501104 -0.24508213
54258.50 15831.148 2.351042 -0.25591783
54259.31 15831.706 2.3335972 -0.2559326
54260.13 15832.265 2.3303671 -0.25587852
54260.94 15832.824 2.3224839 -0.27084906
54261.76 15833.382 2.3255827 -0.26982187
54262.57 15833.941 2.3231646 -0.26951975
54263.39 15834.499 2.3165142 -0.27732469
54264.21 15835.058 2.3229939 -0.27828614
54265.02 15835.617 2.3167111 -0.28197294
54265.84 15836.175 2.31084 -0.28004604
54266.65 15836.734 2.3125529 -0.29237529
54267.47 15837.293 2.3106711 -0.2867192
54268.29 15837.851 2.3153589 -0.28964214
54269.10 15838.410 2.3079376 -0.29477653
54269.92 15838.969 2.3038253 -0.2954996
54270.74 15839.527 2.3043096 -0.29084748
54271.55 15840.086 2.3024588 -0.2962168
54272.37 15840.645 2.3085927 -0.28787977
54273.18 15841.203 2.3095179 -0.29612551
54274.00 15841.762 2.3008608 -0.29749842
54274.81 15842.320 2.2996082 -0.2975554
54275.63 15842.879 2.3019429 -0.30006515
54276.45 15843.438 2.299977 -0.30635758
54277.27 15843.996 2.2974712 -0.30272511
54278.08 15844.555 2.2992829 -0.30194337
