# Sweep from 15841.580Hz to 15798.801Hz step -0.3564916666666704Hz delay 0.8s
# Excitation 0.006662Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
85934.09 15841.580 7.5259245 -0.32216624
85934.90 15841.224 7.5285961 -0.32208837
85935.72 15840.867 7.5316852 -0.31423508
85936.54 15840.511 7.5278012 -0.31444759
85937.35 15840.154 7.534135 -0.31602835
85938.17 15839.798 7.5395747 -0.31151183
85938.98 15839.441 7.5397847 -0.30643795
85939.80 15839.085 7.5435296 -0.30760395
85940.62 15838.728 7.5410194 -0.30553977
85941.43 15838.372 7.5469693 -0.29531941
85942.25 15838.015 7.5448565 -0.29388806
85943.07 15837.659 7.550635 -0.29139653
85943.88 15837.302 7.5537905 -0.2845247
85944.70 15836.946 7.5474409 -0.2814125
85945.52 15836.589 7.5559478 -0.27784984
85946.33 15836.233 7.559584 -0.26980652
85947.15 15835.876 7.562805 -0.27091889
85947.97 15835.520 7.5654093 -0.26090723
85948.78 15835.163 7.5643693 -0.26295729
85949.60 15834.807 7.5679309 -0.25053603
85950.41 15834.450 7.5782855 -0.25018176
85951.23 15834.094 7.5788766 -0.24184217
85952.04 15833.737 7.5868775 -0.23629616
85952.86 15833.381 7.5912699 -0.23188014
85953.67 15833.024 7.5948728 -0.22820166
85954.49 15832.668 7.5935773 -0.22179572
85955.30 15832.311 7.6065694 -0.21398567
85956.12 15831.955 7.6106785 -0.21027554
85956.94 15831.598 7.6143933 -0.19918656
85957.75 15831.242 7.6219126 -0.19599049
85958.57 15830.885 7.6295164 -0.18255047
85959.39 15830.529 7.6378928 -0.17621711
85960.21 15830.172 7.6452961 -0.17391173
85961.03 15829.816 7.6449478 -0.16618864
85961.84 15829.459 7.6598553 -0.16020284
85962.66 15829.103 7.6646047 -0.15649925
85963.48 15828.746 7.6746419 -0.1454156
85964.29 15828.390 7.6866345 -0.13692649
85965.11 15828.033 7.6929018 -0.12964809
85965.93 15827.677 7.7112718 -0.1236114
85966.75 15827.320 7.7099139 -0.11332255
85967.56 15826.964 7.7195446 -0.11581642
85968.38 15826.607 7.730835 -0.10494635
85969.19 15826.251 7.7364366 -0.10073094
85970.01 15825.894 7.754863 -0.092269161
85970.82 15825.538 7.7669192 -0.082856531
85971.64 15825.181 7.7693639 -0.086482615
85972.45 15824.825 7.7868772 -0.082716021
85973.27 15824.468 7.7973264 -0.079328515
85974.08 15824.112 7.803229 -0.07303457
85974.90 15823.755 7.8140738 -0.07326237
85975.72 15823.399 7.8302037 -0.070966777
85976.53 15823.042 7.8476096 -0.072498082
85977.35 15822.686 7.8527273 -0.08031521
85978.16 15822.329 7.8718167 -0.080168128
85978.98 15821.973 7.8851544 -0.090049042
85979.79 15821.616 7.8969497 -0.10495464
85980.61 15821.260 7.9138508 -0.11069233
85981.43 15820.903 7.9244192 -0.11819219
85982.25 15820.547 7.9405481 -0.13815834
85983.07 15820.191 7.9584688 -0.15950336
85983.88 15819.834 7.9708389 -0.17659411
85984.69 15819.478 7.9844476 -0.19960217
85985.51 15819.121 7.9975989 -0.212532
85986.33 15818.765 8.0088766 -0.23669912
85987.15 15818.408 8.0278096 -0.27371914
85987.96 15818.052 8.0343525 -0.30132242
85988.78 15817.695 8.0455966 -0.33300682
85989.60 15817.339 8.0555646 -0.37870279
85990.41 15816.982 8.0609525 -0.40909052
85991.23 15816.626 8.0569998 -0.46472925
85992.04 15816.269 8.0603841 -0.50457083
85992.86 15815.913 8.0449254 -0.58818767
85993.67 15815.556 8.0105101 -0.67954102
85994.49 15815.200 7.5911139 -0.69393889
85995.30 15814.843 7.5670255 -0.65427423
85996.12 15814.487 7.5662419 -0.64726618
85996.94 15814.130 7.5595781 -0.64403639
85997.76 15813.774 7.5554713 -0.64375752
85998.58 15813.417 7.5465327 -0.62915092
85999.39 15813.061 7.552474 -0.63088009
86000.21 15812.704 7.541651 -0.61868008
86001.03 15812.348 7.5459634 -0.61867536
86001.85 15811.991 7.54437 -0.61227644
86002.66 15811.635 7.5398875 -0.60912197
86003.48 15811.278 7.5403191 -0.61007034
86004.30 15810.922 7.5333119 -0.60510155
86005.11 15810.565 7.5347675 -0.59922968
86005.93 15810.209 7.5345283 -0.59104849
